Start,End,Pollster,Sponsor,SampleSize,Pop,tracking,Text,Category,Include?,Yes,No,Unsure,Rep Sample,Rep Yes,Rep No,Dem Sample,Dem Yes,Dem No,Ind Sample,Ind Yes,Ind No,URL,Notes
8/23/2018,8/28/2018,Suffolk University,USA Today,1000,rv,,"Based on what you know now, do you think the House of Representatives should seriously consider impeaching President Donald Trump?",consider,yes,44,47,9,317,9,88,371,71,18,299,47,40,https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/national/2018/9_4_2018_tables_pdftxt.pdf?la=en&hash=7CA7480DB24B0A2CD6F282736F86F9D1AAC899B8,
9/25/2019,9/26/2019,SurveyMonkey Audience,Business Insider,1078,a,,Impeachment is the first step in the process of removing a president from office. Do you think the House of Representatives should impeach President Trump?,impeach,yes,45,30,25,335,15,64,448,73,9,,,,https://www.businessinsider.com/poll-americans-support-trump-impeachment-inquiry-worry-about-blowback-2019-9,
3/26/2019,3/29/2019,Washington Post/George Mason University,,640,a,,"Based on what you know, do you think Congress should or should not begin impeachment proceedings that could lead to Donald Trump being removed from office?",begin_proceedings,yes,41,54,5,,,,,61,,,,,https://www.washingtonpost.com/page/2010-2019/WashingtonPost/2019/03/30/National-Politics/Polling/release_546.xml?tid=lk_inline_manual_2,
7/27/2019,7/30/2019,YouGov,Economist,1500,a,,Do you think the U.S. House of Representatives should or should not try to impeach President Trump?,begin_proceedings,yes,35,45,20,337,8,82,553,63,17,600,28,45,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/hash0nbry8/econTabReport.pdf,
7/21/2019,7/23/2019,YouGov,Economist,1500,a,,Do you think the U.S. House of Representatives should or should not try to impeach President Trump?,begin_proceedings,yes,40,43,18,397,9,84,515,70,12,576,35,40,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/n0eqovafro/econTabReport.pdf,
6/22/2019,6/25/2019,YouGov,Economist,1500,a,,Do you think the Congress should or should not impeach and remove President Trump from office over allegations of obstruction of justice?,reasons,no,36,43,21,,14,,,64,,,30,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/obzwo5cjei/econTabReport.pdf,
6/2/2019,6/4/2019,YouGov,Economist,1500,a,,Do you think the Congress should or should not impeach and remove President Trump from office over allegations of obstruction of justice?,reasons,no,37,42,22,,14,,,69,,,27,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/c4ndc02jx7/econTabReport.pdf,
5/26/2019,5/28/2019,YouGov,Economist,1500,a,,Do you think the U.S. House of Representatives should or should not try to impeach President Trump?,begin_proceedings,yes,35,47,18,379,9,84,520,65,16,590,28,47,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/o9fgzgielo/econTabReport.pdf,
5/18/2019,5/21/2019,YouGov,Economist,1500,a,,Do you think the Congress should or should not impeach and remove President Trump from office over allegations of obstruction of justice?,reasons,no,38,41,20,,9,,,71,,,31,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/dl1xj5lsd9/econTabReport.pdf,
5/12/2019,5/14/2019,YouGov,Economist,1500,a,,Do you think the Congress should or should not impeach and remove President Trump from office over allegations of obstruction of justice?,reasons,no,36,40,24,,12,,,60,,,32,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/fs1r87zj1f/econTabReport.pdf,
5/5/2019,5/7/2019,YouGov,Economist,1500,a,,Do you think the Congress should or should not impeach and remove President Trump from office over collusion with Russia in the 2016 presidential election?,reasons,no,32,44,24,,9,,,60,,,25,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/tkqga43437/econTabReport.pdf,
5/5/2019,5/7/2019,YouGov,Economist,1500,a,,Do you think the Congress should or should not impeach and remove President Trump from office over allegations of obstruction of justice?,reasons,no,35,43,21,,10,,,67,,,28,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/tkqga43437/econTabReport.pdf,
9/24/2019,9/26/2019,YouGov,Huffington Post,1000,a,,"Do you think President Trump should be impeached and removed from office, or not?",impeach_and_remove,yes,47,39,14,222,11,82,359,81,11,417,37,40,https://big.assets.huffingtonpost.com/athena/files/2019/09/26/5d8ce844e4b0e9e760494a43.pdf,
9/10/2019,9/11/2019,YouGov,Huffington Post,1000,a,,"Do you think President Trump should be impeached and removed from office, or not?",impeach_and_remove,yes,43,41,16,238,16,79,358,74,12,401,35,41,https://big.assets.huffingtonpost.com/athena/files/2019/09/26/5d8ce60ee4b0ac3cdda5224d.pdf,
8/9/2019,8/10/2019,YouGov,Huffington Post,1000,a,,"Do you think President Trump should be impeached and removed from office, or not?",impeach_and_remove,yes,41,42,16,222,13,83,355,73,13,417,32,43,https://big.assets.huffingtonpost.com/athena/files/2019/09/26/5d8d23f6e4b0e9e7604a0080.pdf,
7/17/2019,7/18/2019,YouGov,Huffington Post,1000,a,,"Do you think President Trump should be impeached and removed from office, or not?",impeach_and_remove,yes,40,44,17,264,9,86,317,75,9,412,31,44,https://big.assets.huffingtonpost.com/athena/files/2019/09/26/5d8d23afe4b0019647a5c772.pdf,
6/14/2019,6/17/2019,YouGov,Huffington Post,1000,a,,"Do you think President Trump should be impeached and removed from office, or not?",impeach_and_remove,yes,41,42,17,254,15,78,324,72,12,418,34,42,https://big.assets.huffingtonpost.com/athena/files/2019/06/21/5d0cf503e4b0aa375f4bb7b5.pdf,
5/29/2019,5/30/2019,YouGov,Huffington Post,500,a,,"Do you think President Trump should be impeached and removed from office, or not?",impeach_and_remove,yes,38,42,21,111,10,81,164,75,10,225,29,40,https://big.assets.huffingtonpost.com/athena/files/2019/06/03/5cf56ca0e4b0a1997b6ef249.pdf,
5/21/2019,5/22/2019,YouGov,Huffington Post,1000,a,,"Do you think President Trump should be impeached and removed from office, or not?",impeach_and_remove,yes,45,40,15,229,16,80,368,77,11,400,35,41,https://big.assets.huffingtonpost.com/athena/files/2019/09/26/5d8d2466e4b0e9e7604a0102.pdf,
4/18/2019,4/19/2019,YouGov,Huffington Post,1000,a,,"Do you think President Trump should be impeached and removed from office, or not?",impeach_and_remove,yes,37,41,22,222,6,88,349,66,14,411,31,36,https://big.assets.huffingtonpost.com/athena/files/2019/04/22/5cbe11f6e4b0f7a84a73723d.pdf,
7/14/2019,7/16/2019,YouGov,Economist,1500,a,,Do you think the U.S. House of Representatives should or should not try to impeach President Trump?,begin_proceedings,yes,36,45,19,407,11,82,496,64,18,592,29,43,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/xj7rpmvws8/econTabReport.pdf,
8/26/2018,8/28/2018,YouGov,Economist,1500,a,,Do you think the Congress should or should not impeach and remove President Trump from office over campaign spending violations of federal law?,reasons,no,38,39,23,,10,,,72,,,32,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/krhk8brhhw/econTabReport.pdf,
8/26/2018,8/28/2018,YouGov,Economist,1500,a,,Do you think the Congress should or should not impeach and remove President Trump from office over collusion with Russia in the 2016 presidential election?,reasons,no,41,37,22,,11,,,79,,,31,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/krhk8brhhw/econTabReport.pdf,
9/25/2019,9/25/2019,Marist College,,745,rv,,Do you approve or disapprove of the House of Representatives formally starting an impeachment inquiry into President Trump?,begin_inquiry,yes,49,48,4,216,6,93,268,88,10,261,44,50,http://maristpoll.marist.edu/wp-content/uploads/2019/09/NPR_PBS-NewsHour_Marist-Poll_USA-NOS-and-Tables_1909261000.pdf#page=3,
9/3/2019,9/4/2019,Ipsos,,1116,a,,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,41,45,14,,10,80,,71,17,,36,47,https://docs.google.com/spreadsheets/d/1vyN4ADfuJaYV-ofB4cbPJi4BAw2t6DJUzSY0hhkfxR0/edit?usp=sharing,
8/12/2019,8/13/2019,Ipsos,,1116,a,,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,44,42,14,,18,74,,71,16,,30,43,https://docs.google.com/spreadsheets/d/1vyN4ADfuJaYV-ofB4cbPJi4BAw2t6DJUzSY0hhkfxR0/edit?usp=sharing,
7/15/2019,7/16/2019,Ipsos,,1113,a,,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,43,44,13,,10,85,,73,14,,35,41,https://docs.google.com/spreadsheets/d/1vyN4ADfuJaYV-ofB4cbPJi4BAw2t6DJUzSY0hhkfxR0/edit?usp=sharing,
6/17/2019,6/18/2019,Ipsos,,1027,a,,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,43,44,13,,10,83,,73,14,,39,41,https://docs.google.com/spreadsheets/d/1vyN4ADfuJaYV-ofB4cbPJi4BAw2t6DJUzSY0hhkfxR0/edit?usp=sharing,
4/2/2019,4/7/2019,Ipsos,,401,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,38,50,11.8,,,,,,,,,,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
4/1/2019,4/6/2019,Ipsos,,1021,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,40.5,46.3,13.2,399,10.8,82.7,393,73.1,15.4,,,,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
3/31/2019,4/5/2019,Ipsos,,1548,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,40.4,45.5,14.1,612,12,82.3,587,72.7,16.1,,,,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
3/30/2019,4/4/2019,Ipsos,,2291,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,40.7,45.5,13.8,914,12.9,81.8,879,72.1,16.4,,,,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
3/29/2019,4/3/2019,Ipsos,,2716,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,40.4,46.3,13.3,1048,12.5,82.2,1077,70.9,17.7,363,37,43,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
3/28/2019,4/2/2019,Ipsos,,3311,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,39.7,47,13.3,1269,12,82.8,1328,69.4,18.5,439,35.8,45.5,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
3/27/2019,4/1/2019,Ipsos,,3962,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,39.6,46.9,13.5,1496,12,82.6,1588,69,18.8,546,34.2,47.2,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
3/26/2019,3/31/2019,Ipsos,,4278,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,38.8,46.7,14.5,1564,12.3,81.9,1664,68.1,19,655,33.8,48.3,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
3/25/2019,3/30/2019,Ipsos,,4224,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,38.2,47.8,14,1523,11.9,82.7,1653,66.9,20.5,653,35,47.5,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
3/24/2019,3/29/2019,Ipsos,,4372,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,38.4,47.8,13.8,1564,11.3,83.2,1742,66.6,20.4,671,35.6,47.4,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
3/23/2019,3/28/2019,Ipsos,,4146,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,37.7,48.8,13.5,1451,10.8,84,1683,65.2,21.9,636,35.2,47.8,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
3/22/2019,3/27/2019,Ipsos,,4632,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,38.4,47.4,14.2,1673,11.5,83.1,1864,66.4,20,680,34.2,47.6,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
3/21/2019,3/26/2019,Ipsos,,4601,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,38.7,46.8,14.5,1675,11.8,82.9,1843,66.4,19.5,664,35.2,45.9,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
3/20/2019,3/25/2019,Ipsos,,4242,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,39.3,45.8,14.8,1484,11.6,83,1762,66.5,18.9,611,36.6,45,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
3/19/2019,3/24/2019,Ipsos,,3852,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,40.7,44.9,14.4,1346,12.3,82.7,1690,67.1,18.3,497,37.9,42.9,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
3/18/2019,3/23/2019,Ipsos,,3592,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,41.2,44,14.8,1274,12.4,82.8,1589,68.1,17.6,439,36.7,43.9,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
3/17/2019,3/22/2019,Ipsos,,3244,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,41.9,43.1,15,1139,13.1,82.2,1449,68.6,16.9,406,36.3,43,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
3/16/2019,3/21/2019,Ipsos,,3045,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,42.3,41.7,16,1083,13.1,81.1,1338,69.1,15.5,385,38,42,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
3/15/2019,3/20/2019,Ipsos,,2457,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,42.8,42,15.2,845,13.2,81.8,1099,69.2,16.5,,,,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
3/14/2019,3/19/2019,Ipsos,,2222,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,43.5,41.2,15.4,748,13.7,80.9,1002,71,15.3,,,,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
3/13/2019,3/18/2019,Ipsos,,2261,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,42.1,43.7,14.2,838,13.2,81.9,963,71.7,15.7,,,,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
3/12/2019,3/17/2019,Ipsos,,2196,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,41.2,44.7,14,816,12.4,82.9,869,72.1,15.9,,,,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
3/11/2019,3/16/2019,Ipsos,,2214,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,42.3,44.1,13.6,817,13.5,82.1,875,72.6,16.1,,,,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
3/10/2019,3/15/2019,Ipsos,,2191,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,40.5,46.2,13.3,832,12.9,82.5,778,72.5,16.8,362,36,45,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
3/9/2019,3/14/2019,Ipsos,,2182,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,41,46.3,12.7,803,11.2,84.4,781,74.9,15.9,371,35,45,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
3/8/2019,3/13/2019,Ipsos,,2191,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,40.7,45.8,13.4,815,10.8,84.2,777,74.5,15.3,367,35,44,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
3/7/2019,3/12/2019,Ipsos,,2207,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,41,45.6,13.4,809,12,83.2,756,75.3,14.8,408,35.2,43,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
3/6/2019,3/11/2019,Ipsos,,2205,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,40.5,46,13.5,830,12.8,82.5,741,75.5,14.1,405,35.6,43,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
3/5/2019,3/10/2019,Ipsos,,2278,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,41.5,45.1,13.3,847,12.7,83.1,827,74.5,14.6,397,37,41,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
3/4/2019,3/9/2019,Ipsos,,2274,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,41.6,44.7,13.7,834,12.1,83.5,831,74.4,13.4,404,38,40,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
3/3/2019,3/8/2019,Ipsos,,2302,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,43.4,42.7,14,823,12.7,82.7,922,75.2,12.4,377,36,40,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
3/2/2019,3/7/2019,Ipsos,,2539,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,43.7,42.5,13.8,933,14.2,81.1,1020,75.1,12.9,396,37,38,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
3/1/2019,3/6/2019,Ipsos,,3078,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,45.8,40.7,13.5,1111,16.2,79.7,1253,76.3,12.1,480,39,37.4,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
2/28/2019,3/5/2019,Ipsos,,2909,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,46.8,40.2,13,1048,15.9,80.1,1223,76.9,12.1,423,40.6,36.4,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
2/27/2019,3/4/2019,Ipsos,,2580,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,47.7,39.1,13.2,901,16,80,1098,77.5,11.6,385,41,36,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
2/26/2019,3/3/2019,Ipsos,,2245,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,47.9,39.3,12.7,807,16.2,79.4,954,78.4,11.1,,,,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
2/25/2019,3/2/2019,Ipsos,,1925,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,48.1,39.3,12.7,702,17,78.6,811,78.6,11.2,,,,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
2/24/2019,3/1/2019,Ipsos,,1593,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,48.2,39.6,12.3,579,17.4,78.4,674,78.1,12.1,,,,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
2/23/2019,2/28/2019,Ipsos,,1047,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,50.8,37.4,11.8,365,19.2,77.5,451,79.4,10.8,,,,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
2/11/2019,2/16/2019,Ipsos,,565,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,43.7,41.7,14.6,,,,,,,,,,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
2/10/2019,2/15/2019,Ipsos,,912,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,43.7,41.7,14.7,,,,372,75.2,11.5,,,,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
2/9/2019,2/14/2019,Ipsos,,1208,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,43.9,41.7,14.4,459,11.2,81.5,495,75.9,11,,,,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
2/8/2019,2/13/2019,Ipsos,,1556,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,45.8,40.1,14.1,569,10.6,81.6,634,78.8,9.4,,,,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
2/7/2019,2/12/2019,Ipsos,,1888,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,44.5,40.9,14.7,679,9.4,83.6,775,77.1,9.8,,,,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
2/6/2019,2/11/2019,Ipsos,,2242,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,44.3,40.4,15.2,767,9.7,82.8,887,76.7,9.9,364,41,35,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
2/5/2019,2/10/2019,Ipsos,,2291,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,43.7,40.5,15.8,783,8.7,83.1,910,75.7,10.7,369,41,33,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
2/4/2019,2/9/2019,Ipsos,,2345,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,43.1,40.8,16.1,786,8.4,82.4,936,76,10.7,376,39,35,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
2/3/2019,2/8/2019,Ipsos,,2324,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,43,40.9,16.1,792,8.2,82.7,934,76,10.9,359,37,36,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
2/2/2019,2/7/2019,Ipsos,,2403,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,42.7,41.3,16,802,8.5,82.1,953,75.3,11.7,389,37,38,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
2/1/2019,2/6/2019,Ipsos,,2493,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,41.9,42.2,15.9,847,9.4,82,1006,74.1,12.9,370,36,37,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
1/31/2019,2/5/2019,Ipsos,,2475,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,42.9,40.9,16.1,816,10.3,80.1,964,75,12.6,398,35,39,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
1/30/2019,2/4/2019,Ipsos,,2442,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,42.6,41.5,15.8,853,10.2,80.8,993,74.6,12.5,,,,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
1/29/2019,2/3/2019,Ipsos,,2459,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,42.9,41.9,15.1,853,10.5,81.3,999,75,12.6,,,,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
1/28/2019,2/2/2019,Ipsos,,2780,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,42.1,41.6,16.3,883,10.2,82.2,1043,75.6,11.4,476,34.8,40.8,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
1/27/2019,2/1/2019,Ipsos,,2933,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,42.6,41.7,15.7,925,10.9,81.7,1095,76.5,11.5,517,36.2,40.4,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
1/26/2019,1/31/2019,Ipsos,,3007,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,43,41.5,15.5,971,11.8,81.3,1132,77.4,11,502,36.6,39.2,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
1/25/2019,1/30/2019,Ipsos,,2917,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,42.7,41.5,15.8,939,11.5,81.2,1077,77.2,10.6,497,37.3,38.8,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
1/24/2019,1/29/2019,Ipsos,,2957,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,42.4,42.3,15.3,987,11.4,81.8,1118,76.5,11.1,455,36.6,38.2,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
1/23/2019,1/28/2019,Ipsos,,2947,a,TRUE,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should not be impeached",impeach,yes,42.7,41.9,15.4,985,11.6,80.7,1091,77.1,11.3,468,36.3,38.6,https://polling.reuters.com/#!response/TM1465Y18/type/smallest/dates/20180927-20190927/collapsed/false,
